Money Available,Password,Last Name,ID,Cars Purchased,First Name,Username,MinerCars Membership
17862.96,Hn)0pf5q,Granger,1,0,Hermione,hermionegranger,TRUE
29162.281,aNgb9jkE,Bourne,2,0,Jason,jasonbourne,TRUE
7093.7266,03#oxBYW,Baggins,3,0,Frodo,frodobaggins,FALSE
24893.867,KVyCOGc*,Smith,4,0,Yoda,yoda,FALSE
9188.418,2Lob0Zfa,America,5,0,Captain,captainamerica,TRUE
22545.97,#A2UjgVh,Holmes,6,0,Sherlock,sherlockholmes,TRUE
29356.438,L8GKCj$A,Miller,7,0,Neo,neo,TRUE
7050.3164,3*Gts&4X,Jack Sparrow,8,0,Captain,captainjacksparrow,FALSE
10368.43,3@H$PHpp,Finch,9,0,Atticus,atticusfinch,FALSE
17855.2,YQoQ3LH3,T. Kirk,10,0,James,jamest.kirk,FALSE
20199.277,SucLrbjh,Wilson,11,0,Wolverine,wolverine,FALSE
519.0117,Qa8b!@)k,Williams,12,0,Gandalf,gandalf,FALSE
12813.488,WUa9@NUG,Wick,13,0,John,johnwick,TRUE
22035.25,bmQ@0CrZ,Stark,14,0,Tony,tonystark,TRUE
17044.39,Sma0y*cV,Balboa,15,0,Rocky,rockybalboa,FALSE
24267.18,Fl&^mI*Y,Skywalker,16,0,Luke,lukeskywalker,FALSE
1780.0879,1IZgnN1(,Wilson,17,0,Morpheus,morpheus,TRUE
18789.86,ut@zVg$i,Montana,18,0,Tony,tonymontana,TRUE
18349.477,P8A)art(,Miller,19,0,Batman,batman,FALSE
8733.176,SgSj29cv,Bates,20,0,Norman,normanbates,FALSE
27324.29,cstk@z!6,Moore,21,0,E.T.,e.t.,TRUE
26291.92,yCTnezqK,Chan,22,0,Jackie,jackiechan,FALSE
1466.1523,eT47a5mQ,Bickle,23,0,Travis,travisbickle,FALSE
24371.457,6EJQon4R,Solo,24,0,Han,hansolo,TRUE
25557.28,1kfbNp2W,Bond,25,0,James,jamesbond,FALSE
27073.63,E6l1WgpH,Lecter,26,0,Hanibal,haniballecter,FALSE
18758.73,z@Uei505,Everdeen,27,0,Katniss,katnisseverdeen,TRUE
20920.25,xEj4#TAs,Moore,28,0,Thor,thor,FALSE
24107.707,OoU6bx29,Smith,29,0,Spider-Man,spider-man,TRUE
21842.457,l$lqW*w0,Corleone,30,0,Michael,michaelcorleone,FALSE
3889.2715,okjgX&kI,Ripley,31,0,Ellen,ellenripley,TRUE
15981.21,QV#Tb!9&,Woman,32,0,Wonder,wonderwoman,FALSE
21791.004,mLY9h3aK,Gale,33,0,Dorothy,dorothygale,TRUE
11880.406,McxFb#wZ,Vader,34,0,Darth,darthvader,FALSE
23411.2,KjHw49b0,Potter,35,0,Harry,harrypotter,TRUE
9877.074,Lxt0JrZ%,Blaine,36,0,Rick,rickblaine,FALSE
